engine,rate_index,target_rate_rps,repetitions,median_of_run_p99_client_ttft_s,min_run_p99_client_ttft_s,max_run_p99_client_ttft_s,median_of_run_p99_server_tpot_s,min_run_p99_server_tpot_s,max_run_p99_server_tpot_s,median_full_run_completed_output_tokens_per_s,median_failure_fraction,runs_with_failures
nanoserve,0,4.0,3,0.34924566500558285,0.23869992100662785,0.819795059003809,0.17240512420006174,0.12318557193308759,0.19802257946673005,62.76442605893109,0.0,0
nanoserve,1,8.0,3,3.527006746000552,3.456306639003742,3.606931114998588,0.2064674321998609,0.20407769726637828,0.21198214353304742,77.09789100632906,0.020833333333333332,2
nanoserve,2,16.0,3,3.622665060000145,3.43254792499647,3.6256580939952983,0.21223449680013196,0.19974670373291398,0.21245662353370184,76.79458641785443,0.52,3
vllm,0,4.0,3,0.01777797999966424,0.01738840500183869,0.017811526005971245,,,,64.39755618639948,0.0,0
vllm,1,8.0,3,0.018058920999465045,0.0179850689964951,0.018238496995763853,,,,127.71566359553627,0.0,0
vllm,2,16.0,3,0.01864409900008468,0.01814860600279644,0.01872771700436715,,,,265.9863940777361,0.0,0
