engine,rate_index,target_rate_rps,repetitions,median_of_run_p99_client_ttft_s,min_run_p99_client_ttft_s,max_run_p99_client_ttft_s,median_of_run_p99_server_tpot_s,min_run_p99_server_tpot_s,max_run_p99_server_tpot_s,median_full_run_completed_output_tokens_per_s,median_failure_fraction,runs_with_failures
nanoserve,0,0.5,3,0.11089020100189373,0.07961676299601095,0.11099324200040428,0.044695963533498195,0.04146059706690721,0.0642104454668394,9.059088035332044,0.0,0
nanoserve,1,1.0,3,0.12058016700029839,0.09319007999874884,0.15958162800234277,0.0529168184667166,0.05277499126677867,0.08602051266643684,17.58897175692281,0.0,0
nanoserve,2,2.0,3,0.17261181000503711,0.13016948299627984,0.22939257300458848,0.09871978653294111,0.06042589153366862,0.11673219066675908,34.65334171286762,0.0,0
vllm,0,0.5,3,0.017140121999545954,0.01687554200179875,0.01732929699937813,,,,9.059378994788421,0.0,0
vllm,1,1.0,3,0.01789733799523674,0.01579229499475332,0.017916951997904107,,,,17.588159117189427,0.0,0
vllm,2,2.0,3,0.0168450529963593,0.01648041699809255,0.017202315000758972,,,,35.06903468180066,0.0,0
